 number of particles 228, FPS 144
 number of particles 229, FPS 144
 number of particles 230, FPS 144
 number of particles 231, FPS 144
 number of particles 232, FPS 144
 number of particles 233, FPS 144
 number of particles 234, FPS 144
 number of particles 235, FPS 144
 number of particles 236, FPS 144
 number of particles 237, FPS 144
 number of particles 238, FPS 144
 number of particles 239, FPS 144
 number of particles 240, FPS 144
 number of particles 241, FPS 144
 number of particles 242, FPS 144
 number of particles 243, FPS 144
 number of particles 244, FPS 144
 number of particles 245, FPS 144
 number of particles 246, FPS 144
 number of particles 247, FPS 144
 number of particles 248, FPS 144
 number of particles 249, FPS 144
 number of particles 250, FPS 144
 number of particles 251, FPS 144
 number of particles 252, FPS 144
 number of particles 253, FPS 144
 number of particles 254, FPS 144
 number of particles 255, FPS 144
 number of particles 256, FPS 144
 number of particles 257, FPS 144
 number of particles 258, FPS 144
 number of particles 259, FPS 144
 number of particles 260, FPS 144
 number of particles 261, FPS 144
 number of particles 262, FPS 144
 number of particles 263, FPS 144
 number of particles 264, FPS 144
 number of particles 265, FPS 144
 number of particles 266, FPS 144
 number of particles 267, FPS 144
 number of particles 268, FPS 144
 number of particles 269, FPS 144
 number of particles 270, FPS 144
 number of particles 271, FPS 144
 number of particles 272, FPS 144
 number of particles 273, FPS 144
 number of particles 274, FPS 144
 number of particles 275, FPS 144
 number of particles 276, FPS 144
 number of particles 277, FPS 144
 number of particles 278, FPS 144
 number of particles 279, FPS 144
 number of particles 280, FPS 144
 number of particles 281, FPS 144
 number of particles 282, FPS 144
 number of particles 283, FPS 144
 number of particles 284, FPS 144
 number of particles 285, FPS 144
 number of particles 286, FPS 144
 number of particles 287, FPS 144
 number of particles 288, FPS 144
 number of particles 289, FPS 144
 number of particles 290, FPS 144
 number of particles 291, FPS 144
 number of particles 292, FPS 144
 number of particles 293, FPS 144
 number of particles 294, FPS 144
 number of particles 295, FPS 144
 number of particles 296, FPS 144
 number of particles 297, FPS 144
 number of particles 298, FPS 144
